created setup with 216 bodies
plot initial setup plus every 0.00999999977648258 time units
plot next snapshot,	 time step=1190,	 t=1.19000005652197,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1200,	 t=1.20000005699694,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1210,	 t=1.21000005747192,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1220,	 t=1.22000005794689,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1230,	 t=1.23000005842187,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1240,	 t=1.24000005889684,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1250,	 t=1.25000005937181,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1260,	 t=1.26000005984679,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1270,	 t=1.27000006032176,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1280,	 t=1.28000006079674,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1290,	 t=1.29000006127171,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1300,	 t=1.30000006174669,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1310,	 t=1.31000006222166,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1320,	 t=1.32000006269664,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1330,	 t=1.33000006317161,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1340,	 t=1.34000006364658,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1350,	 t=1.35000006412156,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1360,	 t=1.36000006459653,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1370,	 t=1.37000006507151,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1380,	 t=1.38000006554648,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
